gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
899951689	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/576706	Plantae	Tracheophyta	Magnoliopsida	Celastrales	Celastraceae	Celastrus	Celastrus orbiculatus		SPECIES	Celastrus orbiculatus Thunb.	Celastrus orbiculatus		US		Vermont	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.621712	-72.957652	96.0						2010-01-02T00:00:00	2	1	2010	3169169	3169169	HUMAN_OBSERVATION	iNaturalist	Observations	576706		roy pilcher	2014-03-22T23:37:58	CC_BY_NC_4_0	roy pilcher	roy pilcher			2024-01-24T01:32:53.774Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
899951657	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/576702	Plantae	Tracheophyta	Magnoliopsida	Celastrales	Celastraceae	Celastrus	Celastrus orbiculatus		SPECIES	Celastrus orbiculatus Thunb.	Celastrus orbiculatus		US		Vermont	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.621495	-72.957737	96.0						2009-10-23T00:00:00	23	10	2009	3169169	3169169	HUMAN_OBSERVATION	iNaturalist	Observations	576702		roy pilcher	2014-03-22T23:24:29	CC_BY_NC_4_0	roy pilcher	roy pilcher			2024-01-24T01:33:03.374Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
899951653	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/576700	Plantae	Tracheophyta	Magnoliopsida	Celastrales	Celastraceae	Celastrus	Celastrus orbiculatus		SPECIES	Celastrus orbiculatus Thunb.	Celastrus orbiculatus		US		Vermont	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.621433	-72.957609	96.0						2009-10-23T00:00:00	23	10	2009	3169169	3169169	HUMAN_OBSERVATION	iNaturalist	Observations	576700		roy pilcher	2014-03-22T23:22:48	CC_BY_NC_4_0	roy pilcher	roy pilcher			2024-01-24T01:33:00.912Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
788583108	aab0cf80-0c64-11dd-84d1-b8a03c50a862	LD:General:1341458	Plantae	Tracheophyta	Magnoliopsida	Celastrales	Celastraceae	Celastrus	Celastrus orbiculatus		SPECIES	Celastrus orbiculatus Thunb.	Celastrus orbiculatus		CN	Dong'an Co.: Mt Shunhuangshan	Hunan	PRESENT	1	c0758a16-296b-4ec3-97fd-8a057d9060f3	26.466667	111.316667							2004-10-09T00:00:00	9	10	2004	3169169	3169169	PRESERVED_SPECIMEN	LD	General	1341458				CC_BY_NC_4_0		Liu Jin-Kui			2024-01-20T03:14:35.070Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
736074568	86185376-f762-11e1-a439-00145eb45e9a	7cf65018-f820-11e6-b845-70e2840fc270	Plantae	Tracheophyta	Magnoliopsida	Celastrales	Celastraceae	Celastrus	Celastrus orbiculatus		SPECIES	Celastrus orbiculatus Thunb.	Celastrus orbiculatus Thunb.	Thunb.	JP		Kanagawa	PRESENT		4fd82480-ea1c-11da-8db4-b8a03c50a862	35.504167	139.11875			1200.0				2009-11-26T00:00:00	26	11	2009	3169169	3169169	PRESERVED_SPECIMEN	JSCM	VS	43824				CC_BY_4_0					2023-10-14T04:48:32.953Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
736074564	86185376-f762-11e1-a439-00145eb45e9a	7ce193e4-f820-11e6-9cca-70e2840fc270	Plantae	Tracheophyta	Magnoliopsida	Celastrales	Celastraceae	Celastrus	Celastrus orbiculatus		SPECIES	Celastrus orbiculatus Thunb.	Celastrus orbiculatus Thunb.	Thunb.	JP	Tana mouchi, Chuou-ku, Sagamihara City, Kanagawa Pref.	Kanagawa	PRESENT		4fd82480-ea1c-11da-8db4-b8a03c50a862	35.5375	139.34375			50.0				2010-05-06T00:00:00	6	5	2010	3169169	3169169	PRESERVED_SPECIMEN	JSCM	VS	43694				CC_BY_4_0					2023-10-14T04:48:21.245Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
736074559	86185376-f762-11e1-a439-00145eb45e9a	7cd570d2-f820-11e6-b2ca-70e2840fc270	Plantae	Tracheophyta	Magnoliopsida	Celastrales	Celastraceae	Celastrus	Celastrus orbiculatus		SPECIES	Celastrus orbiculatus Thunb.	Celastrus orbiculatus Thunb.	Thunb.	JP		Kanagawa	PRESENT		4fd82480-ea1c-11da-8db4-b8a03c50a862	35.504167	139.11875			1200.0				2009-11-26T00:00:00	26	11	2009	3169169	3169169	PRESERVED_SPECIMEN	JSCM	VS	43617				CC_BY_4_0					2023-10-14T04:48:26.722Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
736074537	86185376-f762-11e1-a439-00145eb45e9a	7bf5abb4-f820-11e6-ae21-70e2840fc270	Plantae	Tracheophyta	Magnoliopsida	Celastrales	Celastraceae	Celastrus	Celastrus orbiculatus	strigillosus	VARIETY	Celastrus orbiculatus var. strigillosus (Nakai) Makino	Celastrus orbiculatus Thunb. var. strigillosus Makino	Thunb.	JP	Hikawa rindoh,Kamihagiwara,Enzan  Town,Kousyuu City,Yamanashi  Pref.	Yamanashi	PRESENT		4fd82480-ea1c-11da-8db4-b8a03c50a862	35.6875	138.84375			1620.0				2009-06-23T00:00:00	23	6	2009	7905441	3169169	PRESERVED_SPECIMEN	JSCM	VS	42217				CC_BY_4_0					2023-10-14T04:48:17.199Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
736074528	86185376-f762-11e1-a439-00145eb45e9a	7b805a30-f820-11e6-905b-70e2840fc270	Plantae	Tracheophyta	Magnoliopsida	Celastrales	Celastraceae	Celastrus	Celastrus orbiculatus	papillosus	FORM	Celastrus orbiculatus f. papillosus (Nakai) H.Hara	Celastrus orbiculatus Thunb. form. papillosus (Nakai ex H.Hara) H.Hara	Thunb.	JP	Daiwa Town, Kosyu City, Yamanashi Pref.	Yamanashi	PRESENT		4fd82480-ea1c-11da-8db4-b8a03c50a862	35.670833	138.85625			1680.0				2009-09-25T00:00:00	25	9	2009	7601779	3169169	PRESERVED_SPECIMEN	JSCM	VS	41469				CC_BY_4_0					2023-10-14T04:48:31.580Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
736074521	86185376-f762-11e1-a439-00145eb45e9a	7b3a0a30-f820-11e6-9056-70e2840fc270	Plantae	Tracheophyta	Magnoliopsida	Celastrales	Celastraceae	Celastrus	Celastrus orbiculatus	strigillosus	VARIETY	Celastrus orbiculatus var. strigillosus (Nakai) Makino	Celastrus orbiculatus Thunb. var. strigillosus Makino	Thunb.	JP	Kushikawa Nagatake, Tsukui-Cho, Sagamihara City, Kanagawa Pref.	Kanagawa	PRESENT		4fd82480-ea1c-11da-8db4-b8a03c50a862	35.5625	139.25625			200.0				2009-05-13T00:00:00	13	5	2009	7905441	3169169	PRESERVED_SPECIMEN	JSCM	VS	41023				CC_BY_4_0					2023-10-14T04:48:20.862Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
